mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
11,Nov,Weekday,23,22,23,22-23,P3
11,Nov,Weekday,24,23,24,23-24,P3
11,Nov,Weekend,1,0,1,0-1,P6
11,Nov,Weekend,2,1,2,1-2,P6
11,Nov,Weekend,3,2,3,2-3,P6
11,Nov,Weekend,4,3,4,3-4,P6
11,Nov,Weekend,5,4,5,4-5,P6
11,Nov,Weekend,6,5,6,5-6,P6
11,Nov,Weekend,7,6,7,6-7,P6
11,Nov,Weekend,8,7,8,7-8,P6
11,Nov,Weekend,9,8,9,8-9,P6
11,Nov,Weekend,10,9,10,9-10,P6
11,Nov,Weekend,11,10,11,10-11,P6
11,Nov,Weekend,12,11,12,11-12,P6
11,Nov,Weekend,13,12,13,12-13,P6
11,Nov,Weekend,14,13,14,13-14,P6
11,Nov,Weekend,15,14,15,14-15,P6
11,Nov,Weekend,16,15,16,15-16,P6
11,Nov,Weekend,17,16,17,16-17,P6
11,Nov,Weekend,18,17,18,17-18,P6
11,Nov,Weekend,19,18,19,18-19,P6
11,Nov,Weekend,20,19,20,19-20,P6
11,Nov,Weekend,21,20,21,20-21,P6
11,Nov,Weekend,22,21,22,21-22,P6
11,Nov,Weekend,23,22,23,22-23,P6
11,Nov,Weekend,24,23,24,23-24,P6
12,Dec,Weekday,1,0,1,0-1,P6
12,Dec,Weekday,2,1,2,1-2,P6
12,Dec,Weekday,3,2,3,2-3,P6
12,Dec,Weekday,4,3,4,3-4,P6
12,Dec,Weekday,5,4,5,4-5,P6
12,Dec,Weekday,6,5,6,5-6,P6
12,Dec,Weekday,7,6,7,6-7,P6
12,Dec,Weekday,8,7,8,7-8,P6
12,Dec,Weekday,9,8,9,8-9,P2
12,Dec,Weekday,10,9,10,9-10,P1
12,Dec,Weekday,11,10,11,10-11,P1
12,Dec,Weekday,12,11,12,11-12,P1
12,Dec,Weekday,13,12,13,12-13,P1
12,Dec,Weekday,14,13,14,13-14,P1
12,Dec,Weekday,15,14,15,14-15,P2
12,Dec,Weekday,16,15,16,15-16,P2
12,Dec,Weekday,17,16,17,16-17,P2
12,Dec,Weekday,18,17,18,17-18,P2
12,Dec,Weekday,19,18,19,18-19,P1
12,Dec,Weekday,20,19,20,19-20,P1
12,Dec,Weekday,21,20,21,20-21,P1
12,Dec,Weekday,22,21,22,21-22,P1
12,Dec,Weekday,23,22,23,22-23,P2
12,Dec,Weekday,24,23,24,23-24,P2
12,Dec,Weekend,1,0,1,0-1,P6
12,Dec,Weekend,2,1,2,1-2,P6
12,Dec,Weekend,3,2,3,2-3,P6
12,Dec,Weekend,4,3,4,3-4,P6
12,Dec,Weekend,5,4,5,4-5,P6
12,Dec,Weekend,6,5,6,5-6,P6
12,Dec,Weekend,7,6,7,6-7,P6
12,Dec,Weekend,8,7,8,7-8,P6
12,Dec,Weekend,9,8,9,8-9,P6
12,Dec,Weekend,10,9,10,9-10,P6
12,Dec,Weekend,11,10,11,10-11,P6
12,Dec,Weekend,12,11,12,11-12,P6
12,Dec,Weekend,13,12,13,12-13,P6
12,Dec,Weekend,14,13,14,13-14,P6
12,Dec,Weekend,15,14,15,14-15,P6
12,Dec,Weekend,16,15,16,15-16,P6
12,Dec,Weekend,17,16,17,16-17,P6
12,Dec,Weekend,18,17,18,17-18,P6
12,Dec,Weekend,19,18,19,18-19,P6
12,Dec,Weekend,20,19,20,19-20,P6
12,Dec,Weekend,21,20,21,20-21,P6
